codigo_postal,crime_type,centroid_id,centroids_in_group,centroid_lon,centroid_lat,n_events,pct_events_group,radius_p50_m,radius_p90_m,kmeans_reason,d_codigo
01000,Amenazas,1,2,-99.1965331,19.3430695,12,26.67,274.3,385.4,k=2; silhouette=0.548; mejora=0.548,01000
01000,Amenazas,2,2,-99.1904674,19.347073,33,73.33,265.6,428.5,k=2; silhouette=0.548; mejora=0.548,01000
01000,Daño a la propiedad,1,2,-99.1903247,19.3474999,61,73.49,184.5,351.6,k=2; silhouette=0.471; mejora=0.471,01000
01000,Daño a la propiedad,2,2,-99.192406,19.343331,22,26.51,201.6,345.4,k=2; silhouette=0.471; mejora=0.471,01000
01000,Delitos sexuales,1,1,-99.1920239,19.3454603,14,100.0,381.8,725.9,k=1 porque n=14 < MIN_EVENTS_TO_SPLIT=25,01000
01000,Fraude y extorsión,1,2,-99.1900037,19.3470585,83,70.94,215.2,334.9,k=2; silhouette=0.430; mejora=0.430,01000
01000,Fraude y extorsión,2,2,-99.1934234,19.3435468,34,29.06,263.8,667.7,k=2; silhouette=0.430; mejora=0.430,01000
01000,Homicidio,1,1,-99.1907745,19.3442138,4,100.0,133.0,201.1,k=1 porque n=4 < MIN_EVENTS_TO_SPLIT=25,01000
01000,Lesiones,1,2,-99.1931047,19.3434423,20,28.57,261.6,372.3,k=2; silhouette=0.419; mejora=0.419,01000
01000,Lesiones,2,2,-99.1899136,19.3470582,50,71.43,223.4,413.1,k=2; silhouette=0.419; mejora=0.419,01000
01000,Narcomenudeo,1,1,-99.1919999,19.3438643,19,100.0,117.0,272.7,k=1 porque n=19 < MIN_EVENTS_TO_SPLIT=25,01000
01000,Otros incidentes,1,2,-99.1921204,19.3439791,147,42.12,203.5,409.5,k=2; silhouette=0.381; mejora=0.381,01000
01000,Otros incidentes,2,2,-99.1898329,19.3474109,202,57.88,219.2,373.7,k=2; silhouette=0.381; mejora=0.381,01000
01000,Otros robos,1,3,-99.1893867,19.3478605,69,47.26,220.3,342.8,k=3; silhouette=0.449; mejora=0.057,01000
01000,Otros robos,2,3,-99.1980368,19.3437338,13,8.9,202.6,312.3,k=3; silhouette=0.449; mejora=0.057,01000
01000,Otros robos,3,3,-99.190985,19.3440523,64,43.84,164.8,257.2,k=3; silhouette=0.449; mejora=0.057,01000
01000,Robo a casa habitación,1,1,-99.1918602,19.346054,17,100.0,338.0,502.1,k=1 porque n=17 < MIN_EVENTS_TO_SPLIT=25,01000
01000,Robo a negocio,1,3,-99.1909473,19.3436346,54,37.76,148.3,241.9,k=3; silhouette=0.512; mejora=0.043,01000
01000,Robo a negocio,2,3,-99.1893779,19.3479454,82,57.34,194.6,315.7,k=3; silhouette=0.512; mejora=0.043,01000
01000,Robo a negocio,3,3,-99.2003626,19.3457329,7,4.9,201.0,311.7,k=3; silhouette=0.512; mejora=0.043,01000
01000,Robo a transeúnte,1,2,-99.1922229,19.3435303,53,46.49,207.0,424.0,k=2; silhouette=0.439; mejora=0.439,01000
01000,Robo a transeúnte,2,2,-99.1893773,19.3472758,61,53.51,217.4,327.2,k=2; silhouette=0.439; mejora=0.439,01000
01000,Robo de vehículo,1,2,-99.1946113,19.3430431,86,40.76,260.1,435.0,k=2; silhouette=0.474; mejora=0.474,01000
01000,Robo de vehículo,2,2,-99.1904817,19.3473621,125,59.24,239.0,378.4,k=2; silhouette=0.474; mejora=0.474,01000
01000,Robo en transporte,1,1,-99.1927327,19.3459353,10,100.0,334.4,559.2,k=1 porque n=10 < MIN_EVENTS_TO_SPLIT=25,01000
01000,Secuestro,1,1,-99.1910374,19.3455519,5,100.0,310.5,484.3,k=1 porque n=5 < MIN_EVENTS_TO_SPLIT=25,01000
01000,Violencia familiar,1,2,-99.1904786,19.3461877,37,84.09,215.9,402.5,k=2; silhouette=0.625; mejora=0.625,01000
01000,Violencia familiar,2,2,-99.1987489,19.3446422,7,15.91,235.5,380.8,k=2; silhouette=0.625; mejora=0.625,01000
01010,Amenazas,1,1,-99.19416,19.3599207,18,100.0,423.5,550.7,k=1 porque n=18 < MIN_EVENTS_TO_SPLIT=25,01010
01010,Daño a la propiedad,1,2,-99.192297,19.3618488,37,78.72,203.1,339.8,k=2; silhouette=0.592; mejora=0.592,01010
01010,Daño a la propiedad,2,2,-99.1974448,19.3575318,10,21.28,166.0,260.3,k=2; silhouette=0.592; mejora=0.592,01010
01010,Delitos sexuales,1,1,-99.1901506,19.3613737,13,100.0,88.8,313.9,k=1 porque n=13 < MIN_EVENTS_TO_SPLIT=25,01010
01010,Fraude y extorsión,1,2,-99.197128,19.3582051,20,24.69,198.6,334.7,k=2; silhouette=0.600; mejora=0.600,01010
01010,Fraude y extorsión,2,2,-99.1911308,19.3615332,61,75.31,194.7,310.5,k=2; silhouette=0.600; mejora=0.600,01010
01010,Homicidio,1,1,-99.1938757,19.3611986,7,100.0,303.2,501.6,k=1 porque n=7 < MIN_EVENTS_TO_SPLIT=25,01010
01010,Lesiones,1,2,-99.1903569,19.3620549,16,51.61,141.8,201.9,k=2; silhouette=0.492; mejora=0.492,01010
01010,Lesiones,2,2,-99.1943518,19.3596806,15,48.39,168.6,348.0,k=2; silhouette=0.492; mejora=0.492,01010
01010,Narcomenudeo,1,1,-99.1920195,19.3617617,4,100.0,283.4,330.1,k=1 porque n=4 < MIN_EVENTS_TO_SPLIT=25,01010
01010,Otros incidentes,1,2,-99.1907785,19.3617077,191,70.22,163.4,335.3,k=2; silhouette=0.629; mejora=0.629,01010
01010,Otros incidentes,2,2,-99.1970967,19.3582639,81,29.78,217.5,345.8,k=2; silhouette=0.629; mejora=0.629,01010
01010,Otros robos,1,2,-99.1911212,19.361796,49,63.64,189.1,319.8,k=2; silhouette=0.626; mejora=0.626,01010
01010,Otros robos,2,2,-99.1975725,19.3587306,28,36.36,228.7,322.5,k=2; silhouette=0.626; mejora=0.626,01010
01010,Robo a casa habitación,1,1,-99.1944811,19.3606014,19,100.0,251.4,427.1,k=1 porque n=19 < MIN_EVENTS_TO_SPLIT=25,01010
01010,Robo a negocio,1,2,-99.1971164,19.3589237,44,20.56,233.7,399.9,k=2; silhouette=0.766; mejora=0.766,01010
01010,Robo a negocio,2,2,-99.189831,19.3613456,170,79.44,80.3,202.0,k=2; silhouette=0.766; mejora=0.766,01010
01010,Robo a transeúnte,1,2,-99.1904696,19.3617709,35,79.55,126.9,242.6,k=2; silhouette=0.645; mejora=0.645,01010
01010,Robo a transeúnte,2,2,-99.19688,19.3600169,9,20.45,166.3,416.4,k=2; silhouette=0.645; mejora=0.645,01010
