unit_id,name,category,lat,lon,operator,osm_type,osm_id,source,category_label
osm_node_319436637,Hospital San Angel Inn,hospital,19.3403526,-99.199841,,node,319436637,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_331600009,Santa Teresita,hospital,19.4223048,-99.2063529,,node,331600009,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_331698395,Bomberos Tecamachalco,fire_station,19.4310478,-99.2266118,,node,331698395,openstreetmap_overpass_cached,Bomberos / proteccion civil
osm_node_473112375,Seguridad / vigilancia,police,19.3956112,-99.1690504,,node,473112375,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_473196179,Seguridad / vigilancia,police,19.3938131,-99.178017,,node,473196179,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_496675423,Bomberos / proteccion civil,fire_station,19.3088565,-98.9153904,,node,496675423,openstreetmap_overpass_cached,Bomberos / proteccion civil
osm_node_496687174,Salud / emergencia medica,hospital,19.3078278,-98.9203085,,node,496687174,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_496813675,Bomberos / proteccion civil,fire_station,19.3207216,-98.9409497,,node,496813675,openstreetmap_overpass_cached,Bomberos / proteccion civil
osm_node_674394120,Base local Matamoros,police,19.4968636,-99.0307,,node,674394120,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_739035810,Clínica Hospital 8 IMSS,hospital,19.3366121,-99.2009685,Instituto Mexicano del Seguro Social,node,739035810,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_739036171,Instituto Nacional de Pediatria,hospital,19.30613,-99.1851961,,node,739036171,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_767323891,Hospital Dermatológico Ladislao Pascua,hospital,19.4064813,-99.1495056,Gobierno del Distrito Federal,node,767323891,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_837153168,PGJDF Fiscalia Desconcentrada en Coyoacan,police,19.3443229,-99.1669811,,node,837153168,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_837157889,PGJDF Fiscalia Desconcentrada en Benito Juarez,police,19.3727209,-99.1578376,,node,837157889,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_837167439,Dentix,hospital,19.3673609,-99.1803765,,node,837167439,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_839606804,Coordinación Territorial COY-3 (PGJDF y SSP),police,19.3339823,-99.1135947,,node,839606804,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_839608841,Coordinación Territorial COY-5 (PGJDF Y SSP),police,19.3195406,-99.1008513,,node,839608841,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_855761356,Hospital Santa Coleta,hospital,19.367824,-99.1865152,,node,855761356,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_958694701,Instituto Nacional de Higiene,hospital,19.4547365,-99.1809227,,node,958694701,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_972127625,Bomberos / proteccion civil,fire_station,19.4868577,-99.0640291,,node,972127625,openstreetmap_overpass_cached,Bomberos / proteccion civil
osm_node_994356029,caseta de policía,police,19.3689596,-99.1788619,,node,994356029,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_1015230879,santa maria tepepan,hospital,19.2683926,-99.1392026,,node,1015230879,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_1212734970,Modulo de seguridad y vigilancia,police,19.4517676,-99.0795749,,node,1212734970,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_1212735084,Modulo de seguridad y vigilancia,police,19.4558394,-99.0891155,,node,1212735084,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_1383426312,Seguridad / vigilancia,police,19.482332,-99.1131363,,node,1383426312,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_1466294105,Centro de Salud Dr. D. Orvañanos,hospital,19.4442171,-99.1354083,,node,1466294105,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_1477979999,Seguridad / vigilancia,police,19.3904466,-99.0637351,,node,1477979999,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_1478201548,Centro de Salud José Zozaya,hospital,19.3985249,-99.1187686,,node,1478201548,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_1514442618,Dr. Rio de la Loza (Ginecología),hospital,19.5143881,-99.2614959,,node,1514442618,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_1585123186,Fiscalía Regional Nezahualcóyotl,police,19.4088047,-99.0174448,,node,1585123186,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_1677057517,"Oficina de Policia ""SSPDF GAM 6 Tepeyac""",police,19.4746457,-99.1314248,,node,1677057517,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_1698266724,Agrupamiento a caballo,police,19.2347073,-99.1203903,,node,1698266724,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_1709275810,Seguridad / vigilancia,police,19.4049803,-99.2703646,,node,1709275810,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_1710331821,Juzgado Civico Iztapalapa 7,police,19.3380896,-99.0749659,,node,1710331821,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_1736439483,Seguridad / vigilancia,police,19.5947583,-99.0502376,,node,1736439483,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_2005357867,Hospital Materno Infantil Inguarán,hospital,19.4520667,-99.1130365,,node,2005357867,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2115196813,Estacion de Bomberos de Chimalhuacan,fire_station,19.427177,-98.9658553,,node,2115196813,openstreetmap_overpass_cached,Bomberos / proteccion civil
osm_node_2126806248,Delegación de Policia,police,19.5202875,-99.1084842,,node,2126806248,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_2126808179,Salud / emergencia medica,hospital,19.5208892,-99.1093908,,node,2126808179,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2278973453,Hospital Punto Médico,hospital,19.4153725,-99.1550669,,node,2278973453,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2278973467,"Hospital Consultores Ambientales, S.A. De C.V.",hospital,19.4155616,-99.1570999,,node,2278973467,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2278973470,"Hospital Santa Elena, Angeles Roma",hospital,19.415301,-99.1570758,,node,2278973470,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2324499329,Hospital General Xoco,hospital,19.3603343,-99.1624076,,node,2324499329,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2324519237,Hospital General Enrique Cabrera,hospital,19.3615894,-99.2243126,,node,2324519237,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2324549710,Hospital General Ticoman,hospital,19.5145772,-99.1380497,,node,2324549710,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2324568180,Hospital General Rubén Leñero,hospital,19.4513407,-99.1694061,,node,2324568180,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2324609833,Hospital Materno Infantil Dr. Nicolas M. Cedillo,hospital,19.4971714,-99.2035124,,node,2324609833,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2324619418,Hospital Pediatrico Azcapotzalco,hospital,19.4841167,-99.1856214,,node,2324619418,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2324666055,Hospital Pediatrico la Villa,hospital,19.4872044,-99.1141898,,node,2324666055,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2324694558,Hospital Materno Infantil Cuautepec,hospital,19.5397608,-99.1408013,,node,2324694558,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2324739301,Hospital Pediátrico Iztacalco,hospital,19.4025983,-99.1177983,,node,2324739301,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2324754213,Hospital Pediátrico Iztapalapa,hospital,19.3565253,-99.1076907,,node,2324754213,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2324804235,Hospital Pediátrico Legaria,hospital,19.4506799,-99.2032965,,node,2324804235,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2324849071,Hospital Pediatrico Moctezuma,hospital,19.4327232,-99.0981339,,node,2324849071,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2324866576,Hospital Materno Infantil Xochimilco,hospital,19.2542119,-99.1047945,,node,2324866576,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2324874934,Hospital General Milpa Alta,hospital,19.2008455,-99.0110247,,node,2324874934,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2426031257,Sector Xochimilco,police,19.2578584,-99.1083956,,node,2426031257,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_2426031581,Issste Clinica Medico Familiar Xochimilco,hospital,19.2567655,-99.1082426,,node,2426031581,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2426920239,Clinica Samano,hospital,19.532345,-99.0480861,,node,2426920239,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2426950372,clinica samano,hospital,19.5324011,-99.0476158,,node,2426950372,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2482978381,"Clínica de Especialidades ""Churubusco""",hospital,19.3455142,-99.1451247,Instituto de Seguridad y Servicios Sociales para los Trabajadores del Estado,node,2482978381,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2539073662,Hospital Vivo Ciudad Azteca,hospital,19.5333405,-99.0270736,Star Médica,node,2539073662,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2682372533,Módulo de policía,police,19.3685503,-99.0731378,SSC CDMX,node,2682372533,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_2727444943,"Centro de salud ""Nueva aragon""",hospital,19.5041365,-99.0172826,,node,2727444943,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2937976909,Agencia del Ministerio Público,police,19.4837764,-99.1827004,,node,2937976909,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_2938027324,Hospital de la Divina Providencia,hospital,19.481014,-99.184899,,node,2938027324,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2938027325,Ampl. Hospital de la Divina Providencia,hospital,19.4806822,-99.18446,,node,2938027325,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2938268495,ISSSTE Clinica de Medicina Familiar,hospital,19.4826851,-99.1880483,,node,2938268495,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2939774393,ISSSTE Clínica Cuitlahuac,hospital,19.4718047,-99.1658196,,node,2939774393,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_2941425707,SSP Unidad Poniente,police,19.4719818,-99.1986607,,node,2941425707,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_3026304095,Seguridad / vigilancia,police,19.462136,-99.1338364,,node,3026304095,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_3238899144,UAM Xochimilco,police,19.301347,-99.1021484,UAM Xochimilco,node,3238899144,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_3238906824,UAM Xochimilco,police,19.3000555,-99.1028842,UAM Xochimilco,node,3238906824,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_3238906825,UAM Xochimilco,police,19.3014594,-99.1022572,UAM Xochimilco,node,3238906825,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_3238906826,UAM Xochimilco,police,19.3040842,-99.1020263,UAM Xochimilco,node,3238906826,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_3238906828,UAM Xochimilco,police,19.307026,-99.101523,UAM Xochimilco,node,3238906828,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_3238914664,UAM Xochimilco,police,19.3076716,-99.1027722,UAM Xochimilco,node,3238914664,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_3238914677,UAM Xochimilco,police,19.3043099,-99.1040563,UAM Xochimilco,node,3238914677,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_3242735049,Caseta de vigilancia,police,19.280408,-99.1708187,Residencial Insurgentes Sur 1,node,3242735049,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_3242735050,Caseta de vigilancia,police,19.2786364,-99.1722564,Residencial Insurgentes Sur 2,node,3242735050,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_3242871603,Caseta de vigilancia,police,19.2647347,-99.126152,Condominio Los Cántaros,node,3242871603,openstreetmap_overpass_cached,Seguridad / vigilancia
