_source_system,_source_table,_extracted_at_utc,_snapshot_date,_snapshot_id,clee,id_establecimiento,nombre,razon_social,clase_actividad,estrato,tipo_vialidad,calle,num_exterior,num_interior,colonia,cp,ubicacion,telefono,correo_e,sitio_internet,tipo_establecimiento,longitud,latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local,ageb,manzana,CLASE_ACTIVIDAD_ID,EDIFICIO_PISO,SECTOR_ACTIVIDAD_ID,SUBSECTOR_ACTIVIDAD_ID,RAMA_ACTIVIDAD_ID,SUBRAMA_ACTIVIDAD_ID,EDIFICIO,Tipo_Asentamiento,fecha_alta,area_geo,nombre_clean,razon_social_clean,clase_actividad_clean,estrato_clean,colonia_clean,ubicacion_clean,nivel_educativo_estimado,flag_universidad,flag_media_superior,flag_educacion_basica,estrato_ocupacion_estimado
denue,denue_cdmx_sector_61_servicios_educativos,2026-07-08T11:16:14Z,2026-07-08,20260708T111509Z,09005611621001441000000000U9,9496872,12 ROUNDS,,Escuelas de deporte del sector privado,0 a 5 personas,AVENIDA,CONSTITUCION DE LA REPUBLICA,221,11,LA PRADERA,07500,"GUSTAVO A. MADERO                                                                                             , Gustavo A. Madero, CIUDAD DE MÉXICO",5620137765,,,Fijo,-99.06501588,19.48014404,CENTRO Y PLAZA COMERCIAL,PUERTA ARAGON,LC 02,1716,006,611621,18,61,611,6116,61162,,COLONIA,2024-11,090050001,12 rounds,,escuelas de deporte del sector privado,0 a 5 personas,la pradera,"gustavo a. madero , gustavo a. madero, ciudad de mexico",capacitacion_otros,False,False,False,0 a 5 personas
denue,denue_cdmx_sector_61_servicios_educativos,2026-07-08T11:16:14Z,2026-07-08,20260708T111509Z,09007611122001343002000000U2,824823,24 DE FEBRERO TURNO MATUTINO PRIMARIA CCT 09DPR2087X,SECRETARIA DE EDUCACION PUBLICA SEP,Escuelas de educación primaria del sector público,31 a 50 personas,CALLE,TITO FERRER,18,,SANTA MARTHA ACATITLA SUR,09510,"IZTAPALAPA                                                                                                    , Iztapalapa, CIUDAD DE MÉXICO",,E09DPR2087X@AEFCM.GOB.MX,,Fijo,-99.01300142,19.36841162,,,,0784,018,611122,,61,611,6111,61112,,COLONIA,2010-07,090070001,24 de febrero turno matutino primaria cct 09dpr2087x,secretaria de educacion publica sep,escuelas de educacion primaria del sector publico,31 a 50 personas,santa martha acatitla sur,"iztapalapa , iztapalapa, ciudad de mexico",primaria,False,False,True,31 a 50 personas
denue,denue_cdmx_sector_61_servicios_educativos,2026-07-08T11:16:14Z,2026-07-08,20260708T111509Z,09015713998000112001000000U5,866530,350,3SO,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,ZAMORA,,,CONDESA,06170,"CUAUHTÉMOC                                                                                                    , Cuauhtémoc, CIUDAD DE MÉXICO",5546234610,,SIKHCENTERMEXICO.ORG,Fijo,-99.17970245,19.41327165,,,,1303,001,611621,,61,611,6116,61162,,COLONIA,2010-07,090150001,350,3so,escuelas de deporte del sector privado,0 a 5 personas,condesa,"cuauhtemoc , cuauhtemoc, ciudad de mexico",capacitacion_otros,False,False,False,0 a 5 personas
denue,denue_cdmx_sector_61_servicios_educativos,2026-07-08T11:16:14Z,2026-07-08,20260708T111509Z,09008623991000075010000000U3,6323842,A FAVOR DEL NIÑO,A FAVOR DEL NIÑO,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,AVENIDA,AV SN JERONIMO,860,0,SAN JERÓNIMO LÍDICE,10200,"LA MAGDALENA CONTRERAS                                                                                        , La Magdalena Contreras, CIUDAD DE MÉXICO",,COORDINADORACONTABLE@AFAVORDELNINO.ORG.MX,HTTP://WWW.AFAVORDELNINO.ORG.MX/,Fijo,-99.21840217,19.32815564,,,,0086,001,611171,1,61,611,6111,61117,,COLONIA,2010-07,090080001,a favor del nino,a favor del nino,escuelas del sector privado que combinan diversos niveles de educacion,51 a 100 personas,san jeronimo lidice,"la magdalena contreras , la magdalena contreras, ciudad de mexico",educativo_no_clasificado,False,False,False,51 a 100 personas
denue,denue_cdmx_sector_61_servicios_educativos,2026-07-08T11:16:14Z,2026-07-08,20260708T111509Z,09007611111004453002000000U9,720189,ABC KIDS,,Escuelas de educación preescolar del sector privado,11 a 30 personas,CALLE,24 DE MARZO DE 1867,2011,,LEYES DE REFORMA TERCERA SECCIÓN,09310,"IZTAPALAPA                                                                                                    , Iztapalapa, CIUDAD DE MÉXICO",5556941831,ABCKIDS60@HOTMAIL.COM,,Fijo,-99.06168539,19.38169934,,,,0214,025,611111,,61,611,6111,61111,,COLONIA,2014-12,090070001,abc kids,,escuelas de educacion preescolar del sector privado,11 a 30 personas,leyes de reforma tercera seccion,"iztapalapa , iztapalapa, ciudad de mexico",preescolar,False,False,True,11 a 30 personas
denue,denue_cdmx_sector_61_servicios_educativos,2026-07-08T11:16:14Z,2026-07-08,20260708T111509Z,09005611111001842000000000U0,632476,ABC KINDER,CENTRO DE PROYECTOS EDUCATIVOS,Escuelas de educación preescolar del sector privado,6 a 10 personas,CALLE,LOMA CHICA,8,,LOMAS DE CUAUTEPEC,07110,"GUSTAVO A. MADERO                                                                                             , Gustavo A. Madero, CIUDAD DE MÉXICO",,ABCKINDER4@GMAIL.COM,,Fijo,-99.13407623,19.56645511,,,,0027,030,611111,,61,611,6111,61111,,COLONIA,2010-07,090050001,abc kinder,centro de proyectos educativos,escuelas de educacion preescolar del sector privado,6 a 10 personas,lomas de cuautepec,"gustavo a. madero , gustavo a. madero, ciudad de mexico",preescolar,False,False,True,6 a 10 personas
denue,denue_cdmx_sector_61_servicios_educativos,2026-07-08T11:16:14Z,2026-07-08,20260708T111509Z,09015611611000541001000000U7,866133,ACA DE MIA DE DANZA CONDESA,,Escuelas de arte del sector privado,11 a 30 personas,AVENIDA,SONORA,205,,HIPÓDROMO,06100,"CUAUHTÉMOC                                                                                                    , Cuauhtémoc, CIUDAD DE MÉXICO",,INFO@ACADEMIA.COM,WWW.ACADEMIADEDANZACONDESA.COM,Fijo,-99.16687722,19.41267287,,,,120A,010,611611,,61,611,6116,61161,,COLONIA,2010-07,090150001,aca de mia de danza condesa,,escuelas de arte del sector privado,11 a 30 personas,hipodromo,"cuauhtemoc , cuauhtemoc, ciudad de mexico",capacitacion_otros,False,False,False,11 a 30 personas
denue,denue_cdmx_sector_61_servicios_educativos,2026-07-08T11:16:14Z,2026-07-08,20260708T111509Z,09006611511000241000000000U5,11456948,ACADAEMIAS ELITE,,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,CIRCUITO,INTERIOR AVENIDA RIO CHURUBUSCO,1120,,INFONAVIT IZTACALCO,08900,"IZTACALCO                                                                                                     , Iztacalco, CIUDAD DE MÉXICO",5545568641,CONTACTO@ACADEMIASELITE.COM,WWW.ACADEMIASELITE.COM,Fijo,-99.1012862,19.38271748,CENTRO Y PLAZA COMERCIAL,PLAZA CHURUBUSCO CENTRO COMERCIAL,39,0946,043,611511,1,61,611,6115,61151,,COLONIA,2024-11,090060001,acadaemias elite,,escuelas del sector privado dedicadas a la ensenanza de oficios,0 a 5 personas,infonavit iztacalco,"iztacalco , iztacalco, ciudad de mexico",educativo_no_clasificado,False,False,False,0 a 5 personas
denue,denue_cdmx_sector_61_servicios_educativos,2026-07-08T11:16:14Z,2026-07-08,20260708T111509Z,09004611611000361000000000U4,12268068,ACADAMIA YEYS,,Escuelas de arte del sector privado,0 a 5 personas,CALLE,AHUEHUETES,46,,SAN JOSÉ DE LOS CEDROS,05200,"CUAJIMALPA DE MORELOS                                                                                         , Cuajimalpa de Morelos, CIUDAD DE MÉXICO",,,,Fijo,-99.28791884,19.36484991,,,,0354,004,611611,,61,611,6116,61161,,COLONIA,2026-04,090040001,acadamia yeys,,escuelas de arte del sector privado,0 a 5 personas,san jose de los cedros,"cuajimalpa de morelos , cuajimalpa de morelos, ciudad de mexico",capacitacion_otros,False,False,False,0 a 5 personas
denue,denue_cdmx_sector_61_servicios_educativos,2026-07-08T11:16:14Z,2026-07-08,20260708T111509Z,09016611511000151000000000U5,686747,ACADEMI ELIT,,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,CALLE,LAGUNA DE SAN CRISTOBAL,158,,ANÁHUAC I SECCIÓN,11320,"MIGUEL HIDALGO                                                                                                , Miguel Hidalgo, CIUDAD DE MÉXICO",5533187345,,,Fijo,-99.17892089,19.44493166,,,,0285,014,611511,,61,611,6115,61151,,COLONIA,2014-12,090160001,academi elit,,escuelas del sector privado dedicadas a la ensenanza de oficios,0 a 5 personas,anahuac i seccion,"miguel hidalgo , miguel hidalgo, ciudad de mexico",educativo_no_clasificado,False,False,False,0 a 5 personas
