_source_system,_source_table,_extracted_at_utc,_snapshot_date,_snapshot_id,station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,is_charging,last_reported_datetime
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,1,16,0,23,0,1,1,1,1787173072,False,False,2026-08-19 20:57:52
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,5,1,1,17,0,1,1,1,1787170566,False,False,2026-08-19 20:16:06
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,6,0,1,26,0,1,1,1,1787170534,False,False,2026-08-19 20:15:34
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,7,3,0,20,0,1,1,1,1787172997,False,False,2026-08-19 20:56:37
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,8,4,1,26,0,1,1,1,1787173064,False,False,2026-08-19 20:57:44
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,9,0,2,21,0,1,1,1,1787172405,False,False,2026-08-19 20:46:45
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,10,2,1,20,0,1,1,1,1787173036,False,False,2026-08-19 20:57:16
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,11,6,0,21,0,1,1,1,1787173071,False,False,2026-08-19 20:57:51
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,12,1,0,26,0,1,1,1,1787172450,False,False,2026-08-19 20:47:30
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,14,20,0,15,0,1,1,1,1787172892,False,False,2026-08-19 20:54:52
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,15,4,0,19,0,1,1,1,1787172787,False,False,2026-08-19 20:53:07
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,16,7,0,20,0,1,1,1,1787172786,False,False,2026-08-19 20:53:06
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,17,2,1,20,0,1,1,1,1787172633,False,False,2026-08-19 20:50:33
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,18,0,0,35,0,1,1,1,1787172305,False,False,2026-08-19 20:45:05
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,19,12,0,7,0,1,1,1,1787172913,False,False,2026-08-19 20:55:13
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,20,8,0,26,0,1,1,1,1787172340,False,False,2026-08-19 20:45:40
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,21,4,0,19,0,1,1,1,1787173017,False,False,2026-08-19 20:56:57
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,22,1,0,22,0,1,1,1,1787172497,False,False,2026-08-19 20:48:17
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,23,0,1,34,0,1,1,1,1787170071,False,False,2026-08-19 20:07:51
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,24,3,1,31,0,1,1,1,1787173067,False,False,2026-08-19 20:57:47
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,25,1,2,20,0,1,1,1,1787173071,False,False,2026-08-19 20:57:51
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,26,6,1,12,0,1,1,1,1787172687,False,False,2026-08-19 20:51:27
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,27,16,0,5,0,1,1,1,1787172604,False,False,2026-08-19 20:50:04
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,28,3,1,7,0,1,1,1,1787171959,False,False,2026-08-19 20:39:19
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,29,2,0,29,0,1,1,1,1787172289,False,False,2026-08-19 20:44:49
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,30,3,1,15,0,1,1,1,1787172697,False,False,2026-08-19 20:51:37
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,31,6,0,9,0,1,1,1,1787173022,False,False,2026-08-19 20:57:02
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,32,4,0,15,0,1,1,1,1787172622,False,False,2026-08-19 20:50:22
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,33,1,1,25,0,1,1,1,1787171583,False,False,2026-08-19 20:33:03
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,34,0,0,19,0,1,1,1,1787171132,False,False,2026-08-19 20:25:32
ecobici,ecobici_gbfs_station_status,2026-08-19T20:58:07Z,2026-08-19,20260819T205807Z,35,0,1,30,0,1,1,1,1787173002,False,False,2026-08-19 20:56:42
