_source_system,_source_table,_extracted_at_utc,_snapshot_date,_snapshot_id,extraction_timestamp,incident_id,incident_type,geometry_type,lat,lon,icon_category,icon_category_desc,magnitude_of_delay,delay_seconds,length_meters,from,to,road_numbers,time_validity,probability,number_of_reports,start_time,end_time,last_report_time,event_descriptions,event_codes,raw_geometry,raw_properties
tomtom,tomtom_cdmx_incidents,2026-07-28T06:45:01Z,2026-07-28,20260728T064457Z,2026-07-28T06:44:58.182491,TTI-f315a9e5-328a-4031-808e-52000a375ca2-TTR24415734752060000,Feature,LineString,19.5486447953,-99.3443616385,9,Road works,0,,680.718,Carretera Santa Ana Jilotzingo (Espíritu Santo-Rancho Blanco),Boulevard Cantón del Espíritu Santo (Espíritu Santo-Rancho Blanco),,present,probable,,2026-07-17T21:47:00Z,,,Obras,701,"{""type"": ""LineString"", ""coordinates"": [[-99.3446580226, 19.5507033547], [-99.3444944078, 19.5505075471], [-99.3444313759, 19.5504203458], [-99.3443267698, 19.550276906], [-99.3442369158, 19.5501253304], [-99.3442033882, 19.5500167236], [-99.3441685194, 19.5498048017], [-99.3441577906, 19.5495634174], [-99.3441832716, 19.549332775], [-99.3442704434, 19.5488902093], [-99.3443616385, 19.5486447953], [-99.3444850201, 19.5484703907], [-99.3448377306, 19.5481297959], [-99.3452360386, 19.5476912552], [-99.3456692154, 19.5471910235], [-99.3458100314, 19.5470609299], [-99.3461707885, 19.5467618799], [-99.3462445492, 19.5466948187], [-99.3463035578, 19.5466049298], [-99.3464591259, 19.5463233355], [-99.346806472, 19.5455481391]]}","{""id"": ""TTI-f315a9e5-328a-4031-808e-52000a375ca2-TTR24415734752060000"", ""iconCategory"": 9, ""magnitudeOfDelay"": 0, ""startTime"": ""2026-07-17T21:47:00Z"", ""endTime"": null, ""from"": ""Carretera Santa Ana Jilotzingo (Espíritu Santo-Rancho Blanco)"", ""to"": ""Boulevard Cantón del Espíritu Santo (Espíritu Santo-Rancho Blanco)"", ""length"": 680.718, ""delay"": null, ""roadNumbers"": [], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""probable"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 701, ""description"": ""Obras"", ""iconCategory"": 9}]}"
tomtom,tomtom_cdmx_incidents,2026-07-28T06:45:01Z,2026-07-28,20260728T064457Z,2026-07-28T06:44:58.182587,TTI-f315a9e5-328a-4031-808e-52000a375ca2-TTR24441701712011000,Feature,LineString,19.4050365971,-99.3292661662,9,Road works,0,43.0,66.8776979582,Huixquilucan-2 (Carretera Huixquilucan-Naucalpan de Juárez),Calle Zenzontles (Carretera Huixquilucan-Naucalpan de Juárez),,present,probable,,2026-07-26T07:27:30Z,,,Obras | Nuevo trazado de carretera por obras,"701,810","{""type"": ""LineString"", ""coordinates"": [[-99.329020744, 19.4051989022], [-99.3290743882, 19.4051600059], [-99.3292661662, 19.4050365971], [-99.329431122, 19.4049333479], [-99.3295451159, 19.4048568991]]}","{""id"": ""TTI-f315a9e5-328a-4031-808e-52000a375ca2-TTR24441701712011000"", ""iconCategory"": 9, ""magnitudeOfDelay"": 0, ""startTime"": ""2026-07-26T07:27:30Z"", ""endTime"": null, ""from"": ""Huixquilucan-2 (Carretera Huixquilucan-Naucalpan de Juárez)"", ""to"": ""Calle Zenzontles (Carretera Huixquilucan-Naucalpan de Juárez)"", ""length"": 66.8776979582, ""delay"": 43, ""roadNumbers"": [], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""probable"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 701, ""description"": ""Obras"", ""iconCategory"": 9}, {""code"": 810, ""description"": ""Nuevo trazado de carretera por obras"", ""iconCategory"": 9}]}"
tomtom,tomtom_cdmx_incidents,2026-07-28T06:45:01Z,2026-07-28,20260728T064457Z,2026-07-28T06:44:58.182620,TTI-f315a9e5-328a-4031-808e-52000a375ca2-TTL24456127840008001,Feature,LineString,19.3337824016,-99.313325798,6,Jam,1,50.0,477.8458653343,Carretera de la Marquesa-Acazulco/Carretera Huixquilucan-la Marquesa (Autopista México-Toluca/MEX-15D),Avenida Arteaga y Salazar (Autopista México-Toluca/MEX-15D),MEX-15D,present,certain,,2026-07-28T06:41:30Z,2026-07-28T06:56:30Z,,Tráfico lento,115,"{""type"": ""LineString"", ""coordinates"": [[-99.3146870191, 19.3319262569], [-99.3146360571, 19.3319879494], [-99.3146320338, 19.3319933278], [-99.3145877773, 19.3320523311], [-99.3144952411, 19.3321677277], [-99.3143866116, 19.332315236], [-99.3142659122, 19.3324801445], [-99.3141841049, 19.3325834396], [-99.3140634055, 19.3327215354], [-99.313929295, 19.3329039229], [-99.3136624152, 19.3332633982], [-99.3135108704, 19.3334752866], [-99.313325798, 19.3337824016], [-99.3132560605, 19.3338856168], [-99.3131554777, 19.3340358917], [-99.3129958863, 19.3342142441], [-99.312864458, 19.3343483049], [-99.3126726801, 19.3344824446], [-99.3126364703, 19.3345079122], [-99.3124822432, 19.3346165842], [-99.3121308739, 19.3348284709], [-99.3119297082, 19.3349183189], [-99.3117178137, 19.3349974105], [-99.3116641695, 19.3350148897]]}","{""id"": ""TTI-f315a9e5-328a-4031-808e-52000a375ca2-TTL24456127840008001"", ""iconCategory"": 6, ""magnitudeOfDelay"": 1, ""startTime"": ""2026-07-28T06:41:30Z"", ""endTime"": ""2026-07-28T06:56:30Z"", ""from"": ""Carretera de la Marquesa-Acazulco/Carretera Huixquilucan-la Marquesa (Autopista México-Toluca/MEX-15D)"", ""to"": ""Avenida Arteaga y Salazar (Autopista México-Toluca/MEX-15D)"", ""length"": 477.8458653343, ""delay"": 50, ""roadNumbers"": [""MEX-15D""], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""certain"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 115, ""description"": ""Tráfico lento"", ""iconCategory"": 6}]}"
tomtom,tomtom_cdmx_incidents,2026-07-28T06:45:01Z,2026-07-28,20260728T064457Z,2026-07-28T06:44:58.182664,TTI-f315a9e5-328a-4031-808e-52000a375ca2-TTR24456127972036000,Feature,LineString,19.3487410443,-99.306036895,8,Road closed,4,,352.7164915667,Avenida 16 de Septiembre,Prolongación Avenida 16 de Septiembre,,present,probable,,2026-06-23T16:12:30Z,,,Cerrado,401,"{""type"": ""LineString"", ""coordinates"": [[-99.3068737442, 19.3463512397], [-99.306345349, 19.347778183], [-99.3062313551, 19.3482649526], [-99.3061710054, 19.3484594228], [-99.3061119968, 19.3485989287], [-99.306036895, 19.3487410443], [-99.3059537465, 19.3488523958], [-99.3058585281, 19.3489556015], [-99.3057150299, 19.3490777083], [-99.3055648262, 19.3491970471], [-99.3055554385, 19.3492010805]]}","{""id"": ""TTI-f315a9e5-328a-4031-808e-52000a375ca2-TTR24456127972036000"", ""iconCategory"": 8, ""magnitudeOfDelay"": 4, ""startTime"": ""2026-06-23T16:12:30Z"", ""endTime"": null, ""from"": ""Avenida 16 de Septiembre"", ""to"": ""Prolongación Avenida 16 de Septiembre"", ""length"": 352.7164915667, ""delay"": null, ""roadNumbers"": [], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""probable"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 401, ""description"": ""Cerrado"", ""iconCategory"": 8}]}"
tomtom,tomtom_cdmx_incidents,2026-07-28T06:45:01Z,2026-07-28,20260728T064457Z,2026-07-28T06:44:58.182701,TTI-f315a9e5-328a-4031-808e-52000a375ca2-TTR24456128188036000,Feature,LineString,19.3487410443,-99.306036895,8,Road closed,4,,352.7164915667,Prolongación Avenida 16 de Septiembre,Avenida 16 de Septiembre,,present,probable,,2026-06-22T03:02:30Z,,,Cerrado,401,"{""type"": ""LineString"", ""coordinates"": [[-99.3055554385, 19.3492010805], [-99.3055648262, 19.3491970471], [-99.3057150299, 19.3490777083], [-99.3058585281, 19.3489556015], [-99.3059537465, 19.3488523958], [-99.306036895, 19.3487410443], [-99.3061119968, 19.3485989287], [-99.3061710054, 19.3484594228], [-99.3062313551, 19.3482649526], [-99.306345349, 19.347778183], [-99.3068737442, 19.3463512397]]}","{""id"": ""TTI-f315a9e5-328a-4031-808e-52000a375ca2-TTR24456128188036000"", ""iconCategory"": 8, ""magnitudeOfDelay"": 4, ""startTime"": ""2026-06-22T03:02:30Z"", ""endTime"": null, ""from"": ""Prolongación Avenida 16 de Septiembre"", ""to"": ""Avenida 16 de Septiembre"", ""length"": 352.7164915667, ""delay"": null, ""roadNumbers"": [], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""probable"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 401, ""description"": ""Cerrado"", ""iconCategory"": 8}]}"
tomtom,tomtom_cdmx_incidents,2026-07-28T06:45:01Z,2026-07-28,20260728T064457Z,2026-07-28T06:44:58.182731,TTI-f315a9e5-328a-4031-808e-52000a375ca2-TTL24456127908008000,Feature,LineString,19.334587083,-99.3126927967,6,Jam,1,150.0,2213.7571344392,Calle Juan Salvador Agraz/Avenida Tamaulipas (Autopista México-Toluca/MEX-15D),Carretera de la Marquesa-Acazulco/Carretera Huixquilucan-la Marquesa (Autopista México-Toluca/MEX-15D),MEX-15D,present,certain,,2026-07-28T06:19:00Z,2026-07-28T07:12:30Z,,Tráfico lento,115,"{""type"": ""LineString"", ""coordinates"": [[-99.3016032035, 19.3354828737], [-99.3017695004, 19.3353889923], [-99.3020310158, 19.3352576215], [-99.3026854748, 19.3349625311], [-99.3032929952, 19.3347654348], [-99.3038643057, 19.3346312953], [-99.3040547425, 19.3346044832], [-99.3045885021, 19.3345548927], [-99.3046421463, 19.3345548927], [-99.3051236028, 19.3345548927], [-99.3053167219, 19.3345682592], [-99.3054991121, 19.3345803602], [-99.3057954962, 19.3346058278], [-99.3062581772, 19.3346782758], [-99.3068643565, 19.3347841795], [-99.3070467467, 19.3348136807], [-99.3085259849, 19.3350430463], [-99.3088746721, 19.3350966703], [-99.3090248758, 19.3351167596], [-99.3091656918, 19.3351369279], [-99.3092729802, 19.3351516389], [-99.3095894808, 19.3351986192], [-99.3098630661, 19.3352361086], [-99.310284173, 19.3352709879], [-99.3104115779, 19.3352750216], [-99.3104839975, 19.335273677], [-99.3105631227, 19.335273677], [-99.3110472614, 19.3352374531], [-99.3111988062, 19.3352160194], [-99.3113570566, 19.3351878628], [-99.3115112836, 19.3351489498], [-99.3117245192, 19.3350845693], [-99.3117969388, 19.3350631355], [-99.3120235855, 19.3349947214], [-99.3122462089, 19.334882095], [-99.312364226, 19.3348190589], [-99.3125104064, 19.3347197989], [-99.312671339, 19.3346058278], [-99.3126927967, 19.334587083], [-99.3129234666, 19.3343979746], [-99.3130374605, 19.3342786249], [-99.3131809587, 19.3341337285], [-99.3133056814, 19.3340130341], [-99.3135376925, 19.3337649223], [-99.3136168177, 19.333652295], [-99.3136704618, 19.3335758919], [-99.3137442226, 19.3334859641], [-99.3138166422, 19.3333854377], [-99.3140379245, 19.3331909496], [-99.3141291196, 19.3331078234], [-99.3142551834, 19.3329683043], [-99.3144670779, 19.3326827009], [-99.3145770485, 19.3324801445], [-99.3146387393, 19.3323125468], [-99.3147259111, 19.3321529374], [-99.3147808964, 19.3320550203], [-99.3149740154, 19.3317841267], [-99.3152690584, 19.3313563115], [-99.3154192621, 19.331058604], [-99.315546667, 19.3308373004], [-99.3157585616, 19.3304081382], [-99.3158242757, 19.3302606282], [-99.316226607, 19.3292454556], [-99.3162587935, 19.329150226], [-99.3163110966, 19.3289973365], [-99.3164224083, 19.3286728117], [-99.3164331371, 19.3286406202], [-99.3165364022, 19.3283308062], [-99.316611504, 19.3280773073], [-99.3168113286, 19.3275703873], [-99.3168649728, 19.3274174963], [-99.3169025237, 19.3273236103], [-99.3169360513, 19.327244515], [-99.3169923777, 19.3271305386], [-99.3170527274, 19.3270111837], [-99.3171814734, 19.3267697843], [-99.3172002489, 19.3267375924]]}","{""id"": ""TTI-f315a9e5-328a-4031-808e-52000a375ca2-TTL24456127908008000"", ""iconCategory"": 6, ""magnitudeOfDelay"": 1, ""startTime"": ""2026-07-28T06:19:00Z"", ""endTime"": ""2026-07-28T07:12:30Z"", ""from"": ""Calle Juan Salvador Agraz/Avenida Tamaulipas (Autopista México-Toluca/MEX-15D)"", ""to"": ""Carretera de la Marquesa-Acazulco/Carretera Huixquilucan-la Marquesa (Autopista México-Toluca/MEX-15D)"", ""length"": 2213.7571344392, ""delay"": 150, ""roadNumbers"": [""MEX-15D""], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""certain"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 115, ""description"": ""Tráfico lento"", ""iconCategory"": 6}]}"
tomtom,tomtom_cdmx_incidents,2026-07-28T06:45:01Z,2026-07-28,20260728T064457Z,2026-07-28T06:44:58.182816,TTI-f315a9e5-328a-4031-808e-52000a375ca2-TTR24456128120023000,Feature,LineString,19.3569446297,-99.3017735237,8,Road closed,4,,150.8198741809,Avenida Ocampo,Avenida Juárez,,present,probable,,2026-06-02T17:31:00Z,,,Cerrado,401,"{""type"": ""LineString"", ""coordinates"": [[-99.3018754477, 19.3563102414], [-99.301840579, 19.3564711716], [-99.3018083925, 19.3567340371], [-99.3017735237, 19.3569446297], [-99.3016957397, 19.3571537985], [-99.3014664108, 19.3575964132]]}","{""id"": ""TTI-f315a9e5-328a-4031-808e-52000a375ca2-TTR24456128120023000"", ""iconCategory"": 8, ""magnitudeOfDelay"": 4, ""startTime"": ""2026-06-02T17:31:00Z"", ""endTime"": null, ""from"": ""Avenida Ocampo"", ""to"": ""Avenida Juárez"", ""length"": 150.8198741809, ""delay"": null, ""roadNumbers"": [], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""probable"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 401, ""description"": ""Cerrado"", ""iconCategory"": 8}]}"
tomtom,tomtom_cdmx_incidents,2026-07-28T06:45:01Z,2026-07-28,20260728T064457Z,2026-07-28T06:44:58.182843,TTI-f315a9e5-328a-4031-808e-52000a375ca2-TTR24456128336023000,Feature,LineString,19.3567340371,-99.3018083925,8,Road closed,4,,150.8198741809,Avenida Juárez,Avenida Ocampo,,present,probable,,2026-06-02T14:15:30Z,,,Cerrado,401,"{""type"": ""LineString"", ""coordinates"": [[-99.3014664108, 19.3575964132], [-99.3016957397, 19.3571537985], [-99.3017735237, 19.3569446297], [-99.3018083925, 19.3567340371], [-99.301840579, 19.3564711716], [-99.3018754477, 19.3563102414]]}","{""id"": ""TTI-f315a9e5-328a-4031-808e-52000a375ca2-TTR24456128336023000"", ""iconCategory"": 8, ""magnitudeOfDelay"": 4, ""startTime"": ""2026-06-02T14:15:30Z"", ""endTime"": null, ""from"": ""Avenida Juárez"", ""to"": ""Avenida Ocampo"", ""length"": 150.8198741809, ""delay"": null, ""roadNumbers"": [], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""probable"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 401, ""description"": ""Cerrado"", ""iconCategory"": 8}]}"
tomtom,tomtom_cdmx_incidents,2026-07-28T06:45:01Z,2026-07-28,20260728T064457Z,2026-07-28T06:44:58.182869,TTI-f315a9e5-328a-4031-808e-52000a375ca2-TTR24447472920030000,Feature,LineString,19.418804363,-99.3003130609,8,Road closed,4,,340.2183294187,Huixquilucan,Carretera La Venta-Lechería,,present,probable,,2026-07-21T10:15:19Z,,,Cerrado,401,"{""type"": ""LineString"", ""coordinates"": [[-99.3000515456, 19.4208656804], [-99.3000636155, 19.4207597536], [-99.300082391, 19.420649716], [-99.3001051897, 19.420543789], [-99.3001534695, 19.4202876668], [-99.3002138192, 19.4198719415], [-99.3002580757, 19.4195017483], [-99.3002647812, 19.4194507607], [-99.3003224487, 19.4191410403], [-99.3003170843, 19.4189304491], [-99.3003130609, 19.418804363], [-99.30027551, 19.4186514786], [-99.3002540523, 19.4185374871], [-99.3002433235, 19.4184771712], [-99.3002191836, 19.4182585949], [-99.3001923615, 19.4181432593], [-99.3001735861, 19.4180801764], [-99.3001387174, 19.4179983584], [-99.3001145775, 19.4179554336], [-99.3000434989, 19.4178750384]]}","{""id"": ""TTI-f315a9e5-328a-4031-808e-52000a375ca2-TTR24447472920030000"", ""iconCategory"": 8, ""magnitudeOfDelay"": 4, ""startTime"": ""2026-07-21T10:15:19Z"", ""endTime"": null, ""from"": ""Huixquilucan"", ""to"": ""Carretera La Venta-Lechería"", ""length"": 340.2183294187, ""delay"": null, ""roadNumbers"": [], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""probable"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 401, ""description"": ""Cerrado"", ""iconCategory"": 8}]}"
tomtom,tomtom_cdmx_incidents,2026-07-28T06:45:01Z,2026-07-28,20260728T064457Z,2026-07-28T06:44:58.182902,TTI-f315a9e5-328a-4031-808e-52000a375ca2-TTR24447472896006000,Feature,LineString,19.4204445812,-99.299095338,8,Road closed,4,,66.3260670764,Bosque Real Country Club,Bosque Real Country Club,,present,certain,,2026-07-28T03:24:00Z,,,Cerrado,401,"{""type"": ""LineString"", ""coordinates"": [[-99.299531197, 19.4206739053], [-99.2994051332, 19.4206108234], [-99.299095338, 19.4204445812], [-99.2989800031, 19.4203814993]]}","{""id"": ""TTI-f315a9e5-328a-4031-808e-52000a375ca2-TTR24447472896006000"", ""iconCategory"": 8, ""magnitudeOfDelay"": 4, ""startTime"": ""2026-07-28T03:24:00Z"", ""endTime"": null, ""from"": ""Bosque Real Country Club"", ""to"": ""Bosque Real Country Club"", ""length"": 66.3260670764, ""delay"": null, ""roadNumbers"": [], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""certain"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 401, ""description"": ""Cerrado"", ""iconCategory"": 8}]}"
